"00-Polarization:0","00-Polarization:1","00-Polarization:2","09-FranckEnergyDensity","Points:0","Points:1","Points:2"
7.07107e-01,7.07107e-01,0.00000e+00,3.12065e-02,5.00000e-01,5.00000e+00,0.00000e+00
7.07107e-01,7.07107e-01,0.00000e+00,3.50332e-02,7.50000e-01,5.00000e+00,0.00000e+00
7.07107e-01,7.07107e-01,0.00000e+00,3.95702e-02,1.00000e+00,5.00000e+00,0.00000e+00
7.07107e-01,7.07107e-01,0.00000e+00,4.50777e-02,1.25000e+00,5.00000e+00,0.00000e+00
7.07107e-01,7.07107e-01,0.00000e+00,5.18552e-02,1.50000e+00,5.00000e+00,0.00000e+00
7.07107e-01,7.07107e-01,0.00000e+00,6.02951e-02,1.75000e+00,5.00000e+00,0.00000e+00
7.07107e-01,7.07107e-01,0.00000e+00,7.09930e-02,2.00000e+00,5.00000e+00,0.00000e+00
7.07107e-01,7.07107e-01,0.00000e+00,8.48401e-02,2.25000e+00,5.00000e+00,0.00000e+00
7.07107e-01,7.07107e-01,0.00000e+00,1.03219e-01,2.50000e+00,5.00000e+00,0.00000e+00
7.07107e-01,7.07107e-01,0.00000e+00,1.28373e-01,2.75000e+00,5.00000e+00,0.00000e+00
7.07107e-01,7.07107e-01,0.00000e+00,1.64151e-01,3.00000e+00,5.00000e+00,0.00000e+00
7.07107e-01,7.07107e-01,0.00000e+00,2.17632e-01,3.25000e+00,5.00000e+00,0.00000e+00
7.07107e-01,7.07107e-01,0.00000e+00,3.03102e-01,3.50000e+00,5.00000e+00,0.00000e+00
7.07107e-01,7.07107e-01,0.00000e+00,5.15621e-01,3.75000e+00,5.00000e+00,0.00000e+00
7.07107e-01,7.07107e-01,0.00000e+00,9.60656e-01,4.00000e+00,5.00000e+00,0.00000e+00
7.07107e-01,7.07107e-01,0.00000e+00,1.69777e+00,4.25000e+00,5.00000e+00,0.00000e+00
4.71405e-01,4.71405e-01,0.00000e+00,1.77358e+00,4.50000e+00,5.00000e+00,0.00000e+00
2.35702e-01,2.35702e-01,0.00000e+00,1.67766e+00,4.75000e+00,5.00000e+00,0.00000e+00
0.00000e+00,0.00000e+00,0.00000e+00,1.61720e+00,5.00000e+00,5.00000e+00,0.00000e+00
-2.35702e-01,-2.35702e-01,0.00000e+00,1.67766e+00,5.25000e+00,5.00000e+00,0.00000e+00
-4.71405e-01,-4.71405e-01,0.00000e+00,1.77358e+00,5.50000e+00,5.00000e+00,0.00000e+00
-7.07107e-01,-7.07107e-01,0.00000e+00,1.69777e+00,5.75000e+00,5.00000e+00,0.00000e+00
-7.07107e-01,-7.07107e-01,0.00000e+00,9.60656e-01,6.00000e+00,5.00000e+00,0.00000e+00
-7.07107e-01,-7.07107e-01,0.00000e+00,5.15621e-01,6.25000e+00,5.00000e+00,0.00000e+00
-7.07107e-01,-7.07107e-01,0.00000e+00,3.03102e-01,6.50000e+00,5.00000e+00,0.00000e+00
-7.07107e-01,-7.07107e-01,0.00000e+00,2.17632e-01,6.75000e+00,5.00000e+00,0.00000e+00
-7.07107e-01,-7.07107e-01,0.00000e+00,1.64151e-01,7.00000e+00,5.00000e+00,0.00000e+00
-7.07107e-01,-7.07107e-01,0.00000e+00,1.28373e-01,7.25000e+00,5.00000e+00,0.00000e+00
-7.07107e-01,-7.07107e-01,0.00000e+00,1.03219e-01,7.50000e+00,5.00000e+00,0.00000e+00
-7.07107e-01,-7.07107e-01,0.00000e+00,8.48401e-02,7.75000e+00,5.00000e+00,0.00000e+00
-7.07107e-01,-7.07107e-01,0.00000e+00,7.09930e-02,8.00000e+00,5.00000e+00,0.00000e+00
-7.07107e-01,-7.07107e-01,0.00000e+00,6.02951e-02,8.25000e+00,5.00000e+00,0.00000e+00
-7.07107e-01,-7.07107e-01,0.00000e+00,5.18552e-02,8.50000e+00,5.00000e+00,0.00000e+00
-7.07107e-01,-7.07107e-01,0.00000e+00,4.50777e-02,8.75000e+00,5.00000e+00,0.00000e+00
-7.07107e-01,-7.07107e-01,0.00000e+00,3.95546e-02,9.00000e+00,5.00000e+00,0.00000e+00
-7.07107e-01,-7.07107e-01,0.00000e+00,3.50701e-02,9.25000e+00,5.00000e+00,0.00000e+00
-7.07107e-01,-7.07107e-01,0.00000e+00,3.11467e-02,9.50000e+00,5.00000e+00,0.00000e+00
7.45241e-01,6.66795e-01,0.00000e+00,3.10614e-02,5.00000e-01,5.25000e+00,0.00000e+00
7.47409e-01,6.64364e-01,0.00000e+00,3.49236e-02,7.50000e-01,5.25000e+00,0.00000e+00
7.49838e-01,6.61622e-01,0.00000e+00,3.93980e-02,1.00000e+00,5.25000e+00,0.00000e+00
7.52577e-01,6.58505e-01,0.00000e+00,4.48568e-02,1.25000e+00,5.25000e+00,0.00000e+00
7.55689e-01,6.54931e-01,0.00000e+00,5.15609e-02,1.50000e+00,5.25000e+00,0.00000e+00
7.59257e-01,6.50791e-01,0.00000e+00,5.98939e-02,1.75000e+00,5.25000e+00,0.00000e+00
7.63386e-01,6.45942e-01,0.00000e+00,7.04315e-02,2.00000e+00,5.25000e+00,0.00000e+00
7.68221e-01,6.40184e-01,0.00000e+00,8.40291e-02,2.25000e+00,5.25000e+00,0.00000e+00
7.73957e-01,6.33238e-01,0.00000e+00,1.02003e-01,2.50000e+00,5.25000e+00,0.00000e+00
7.80869e-01,6.24695e-01,0.00000e+00,1.26463e-01,2.75000e+00,5.25000e+00,0.00000e+00
7.89352e-01,6.13941e-01,0.00000e+00,1.60969e-01,3.00000e+00,5.25000e+00,0.00000e+00
8.00000e-01,6.00000e-01,0.00000e+00,2.11920e-01,3.25000e+00,5.25000e+00,0.00000e+00
8.13733e-01,5.81238e-01,0.00000e+00,2.91791e-01,3.50000e+00,5.25000e+00,0.00000e+00
8.32050e-01,5.54700e-01,0.00000e+00,4.85517e-01,3.75000e+00,5.25000e+00,0.00000e+00
8.57493e-01,5.14496e-01,0.00000e+00,8.89825e-01,4.00000e+00,5.25000e+00,0.00000e+00
8.94427e-01,4.47214e-01,0.00000e+00,1.55843e+00,4.25000e+00,5.25000e+00,0.00000e+00
7.07107e-01,2.35702e-01,0.00000e+00,1.76983e+00,4.50000e+00,5.25000e+00,0.00000e+00
4.71405e-01,-2.77556e-17,0.00000e+00,1.71482e+00,4.75000e+00,5.25000e+00,0.00000e+00
2.35702e-01,-2.35702e-01,0.00000e+00,1.67766e+00,5.00000e+00,5.25000e+00,0.00000e+00
-2.77556e-17,-4.71405e-01,0.00000e+00,1.71482e+00,5.25000e+00,5.25000e+00,0.00000e+00
-2.35702e-01,-7.07107e-01,0.00000e+00,1.77010e+00,5.50000e+00,5.25000e+00,0.00000e+00
-4.47214e-01,-8.94427e-01,0.00000e+00,1.55903e+00,5.75000e+00,5.25000e+00,0.00000e+00
-5.14496e-01,-8.57493e-01,0.00000e+00,8.91619e-01,6.00000e+00,5.25000e+00,0.00000e+00
-5.54700e-01,-8.32050e-01,0.00000e+00,4.86626e-01,6.25000e+00,5.25000e+00,0.00000e+00
-5.81238e-01,-8.13733e-01,0.00000e+00,2.93645e-01,6.50000e+00,5.25000e+00,0.00000e+00
-6.00000e-01,-8.00000e-01,0.00000e+00,2.12824e-01,6.75000e+00,5.25000e+00,0.00000e+00
-6.13941e-01,-7.89352e-01,0.00000e+00,1.61448e-01,7.00000e+00,5.25000e+00,0.00000e+00
-6.24695e-01,-7.80869e-01,0.00000e+00,1.26735e-01,7.25000e+00,5.25000e+00,0.00000e+00
-6.33238e-01,-7.73957e-01,0.00000e+00,1.02166e-01,7.50000e+00,5.25000e+00,0.00000e+00
-6.40184e-01,-7.68221e-01,0.00000e+00,8.41319e-02,7.75000e+00,5.25000e+00,0.00000e+00
-6.45942e-01,-7.63386e-01,0.00000e+00,7.04986e-02,8.00000e+00,5.25000e+00,0.00000e+00
-6.50791e-01,-7.59257e-01,0.00000e+00,5.99392e-02,8.25000e+00,5.25000e+00,0.00000e+00
-6.54931e-01,-7.55689e-01,0.00000e+00,5.15924e-02,8.50000e+00,5.25000e+00,0.00000e+00
-6.58505e-01,-7.52577e-01,0.00000e+00,4.48792e-02,8.75000e+00,5.25000e+00,0.00000e+00
-6.61622e-01,-7.49838e-01,0.00000e+00,3.93992e-02,9.00000e+00,5.25000e+00,0.00000e+00
-6.64364e-01,-7.47409e-01,0.00000e+00,3.49418e-02,9.25000e+00,5.25000e+00,0.00000e+00
-6.66795e-01,-7.45241e-01,0.00000e+00,3.10425e-02,9.50000e+00,5.25000e+00,0.00000e+00
7.80869e-01,6.24695e-01,0.00000e+00,3.07337e-02,5.00000e-01,5.50000e+00,0.00000e+00
7.84883e-01,6.19644e-01,0.00000e+00,3.45441e-02,7.50000e-01,5.50000e+00,0.00000e+00
7.89352e-01,6.13941e-01,0.00000e+00,3.89032e-02,1.00000e+00,5.50000e+00,0.00000e+00
7.94358e-01,6.07450e-01,0.00000e+00,4.42303e-02,1.25000e+00,5.50000e+00,0.00000e+00
8.00000e-01,6.00000e-01,0.00000e+00,5.07305e-02,1.50000e+00,5.50000e+00,0.00000e+00
8.06405e-01,5.91364e-01,0.00000e+00,5.87696e-02,1.75000e+00,5.50000e+00,0.00000e+00
8.13733e-01,5.81238e-01,0.00000e+00,6.88708e-02,2.00000e+00,5.50000e+00,0.00000e+00
8.22192e-01,5.69210e-01,0.00000e+00,8.17985e-02,2.25000e+00,5.50000e+00,0.00000e+00
8.32050e-01,5.54700e-01,0.00000e+00,9.87017e-02,2.50000e+00,5.50000e+00,0.00000e+00
8.43661e-01,5.36875e-01,0.00000e+00,1.21368e-01,2.75000e+00,5.50000e+00,0.00000e+00
8.57493e-01,5.14496e-01,0.00000e+00,1.52691e-01,3.00000e+00,5.50000e+00,0.00000e+00
8.74157e-01,4.85643e-01,0.00000e+00,1.97582e-01,3.25000e+00,5.50000e+00,0.00000e+00
8.94427e-01,4.47214e-01,0.00000e+00,2.64871e-01,3.50000e+00,5.50000e+00,0.00000e+00
9.19145e-01,3.93919e-01,0.00000e+00,4.10883e-01,3.75000e+00,5.50000e+00,0.00000e+00
9.48683e-01,3.16228e-01,0.00000e+00,7.12707e-01,4.00000e+00,5.50000e+00,0.00000e+00
9.80581e-01,1.96116e-01,0.00000e+00,1.21288e+00,4.25000e+00,5.50000e+00,0.00000e+00
9.42809e-01,-5.55112e-17,0.00000e+00,1.72146e+00,4.50000e+00,5.50000e+00,0.00000e+00
7.07107e-01,-2.35702e-01,0.00000e+00,1.77010e+00,4.75000e+00,5.50000e+00,0.00000e+00
4.71405e-01,-4.71405e-01,0.00000e+00,1.77358e+00,5.00000e+00,5.50000e+00,0.00000e+00
2.35702e-01,-7.07107e-01,0.00000e+00,1.76983e+00,5.25000e+00,5.50000e+00,0.00000e+00
-5.55112e-17,-9.42809e-01,0.00000e+00,1.72146e+00,5.50000e+00,5.50000e+00,0.00000e+00
-1.96116e-01,-9.80581e-01,0.00000e+00,1.21271e+00,5.75000e+00,5.50000e+00,0.00000e+00
-3.16228e-01,-9.48683e-01,0.00000e+00,7.15578e-01,6.00000e+00,5.50000e+00,0.00000e+00
-3.93919e-01,-9.19145e-01,0.00000e+00,4.13967e-01,6.25000e+00,5.50000e+00,0.00000e+00
-4.47214e-01,-8.94427e-01,0.00000e+00,2.67277e-01,6.50000e+00,5.50000e+00,0.00000e+00
-4.85643e-01,-8.74157e-01,0.00000e+00,1.98903e-01,6.75000e+00,5.50000e+00,0.00000e+00
-5.14496e-01,-8.57493e-01,0.00000e+00,1.53447e-01,7.00000e+00,5.50000e+00,0.00000e+00
-5.36875e-01,-8.43661e-01,0.00000e+00,1.21819e-01,7.25000e+00,5.50000e+00,0.00000e+00
-5.54700e-01,-8.32050e-01,0.00000e+00,9.89827e-02,7.50000e+00,5.50000e+00,0.00000e+00
-5.69210e-01,-8.22192e-01,0.00000e+00,8.19800e-02,7.75000e+00,5.50000e+00,0.00000e+00
